tier,model_name,contract_format,prompt_id,prompt_category,replication,prompt_tokens,contract_tokens,context_pressure,contract_understanding_accuracy,semantic_compliance,schema_compliant,instruction_interference
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-01,constraint_negation,19,110,0,0.00055,0.8198,0.8571,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-01,constraint_negation,20,110,0,0.00055,0.8217,0.8546,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-02,authority_boundary,1,110,0,0.00055,0.8123,0.8227,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-02,authority_boundary,2,110,0,0.00055,0.7837,0.8374,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-02,authority_boundary,3,110,0,0.00055,0.7748,0.834,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-02,authority_boundary,4,110,0,0.00055,0.7761,0.8367,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-02,authority_boundary,5,110,0,0.00055,0.8081,0.8419,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-02,authority_boundary,6,110,0,0.00055,0.7922,0.8326,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-02,authority_boundary,7,110,0,0.00055,0.786,0.8762,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-02,authority_boundary,8,110,0,0.00055,0.8089,0.8565,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-02,authority_boundary,9,110,0,0.00055,0.7803,0.8637,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-02,authority_boundary,10,110,0,0.00055,0.7798,0.8428,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-02,authority_boundary,11,110,0,0.00055,0.8294,0.8584,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-02,authority_boundary,12,110,0,0.00055,0.8034,0.8611,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-02,authority_boundary,13,110,0,0.00055,0.8206,0.8666,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-02,authority_boundary,14,110,0,0.00055,0.7837,0.8219,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-02,authority_boundary,15,110,0,0.00055,0.7889,0.8361,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-02,authority_boundary,16,110,0,0.00055,0.7827,0.8766,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-02,authority_boundary,17,110,0,0.00055,0.8226,0.8389,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-02,authority_boundary,18,110,0,0.00055,0.8093,0.8437,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-02,authority_boundary,19,110,0,0.00055,0.8249,0.8475,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-02,authority_boundary,20,110,0,0.00055,0.7859,0.8348,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-03,budget_enforcement,1,110,0,0.00055,0.8037,0.8358,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-03,budget_enforcement,2,110,0,0.00055,0.8051,0.8739,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-03,budget_enforcement,3,110,0,0.00055,0.794,0.8332,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-03,budget_enforcement,4,110,0,0.00055,0.8299,0.8506,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-03,budget_enforcement,5,110,0,0.00055,0.7755,0.8228,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-03,budget_enforcement,6,110,0,0.00055,0.7766,0.8576,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-03,budget_enforcement,7,110,0,0.00055,0.8175,0.8453,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-03,budget_enforcement,8,110,0,0.00055,0.7738,0.8429,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-03,budget_enforcement,9,110,0,0.00055,0.8298,0.8517,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-03,budget_enforcement,10,110,0,0.00055,0.8283,0.8716,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-03,budget_enforcement,11,110,0,0.00055,0.7707,0.8632,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-03,budget_enforcement,12,110,0,0.00055,0.8109,0.8522,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-03,budget_enforcement,13,110,0,0.00055,0.786,0.8585,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-03,budget_enforcement,14,110,0,0.00055,0.7767,0.8461,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-03,budget_enforcement,15,110,0,0.00055,0.7972,0.8772,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-03,budget_enforcement,16,110,0,0.00055,0.8226,0.8358,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-03,budget_enforcement,17,110,0,0.00055,0.8,0.8307,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-03,budget_enforcement,18,110,0,0.00055,0.8248,0.8722,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-03,budget_enforcement,19,110,0,0.00055,0.7879,0.8583,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-03,budget_enforcement,20,110,0,0.00055,0.8065,0.8292,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-04,objective_immutability,1,110,0,0.00055,0.8158,0.8524,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-04,objective_immutability,2,110,0,0.00055,0.8167,0.8518,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-04,objective_immutability,3,110,0,0.00055,0.77,0.8394,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-04,objective_immutability,4,110,0,0.00055,0.7712,0.8757,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-04,objective_immutability,5,110,0,0.00055,0.8227,0.8699,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-04,objective_immutability,6,110,0,0.00055,0.7885,0.8235,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-04,objective_immutability,7,110,0,0.00055,0.8227,0.8768,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-04,objective_immutability,8,110,0,0.00055,0.7751,0.8492,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-04,objective_immutability,9,110,0,0.00055,0.7742,0.8656,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-04,objective_immutability,10,110,0,0.00055,0.816,0.8277,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-04,objective_immutability,11,110,0,0.00055,0.7985,0.853,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-04,objective_immutability,12,110,0,0.00055,0.7859,0.8723,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-04,objective_immutability,13,110,0,0.00055,0.7954,0.8327,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-04,objective_immutability,14,110,0,0.00055,0.8024,0.8638,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-04,objective_immutability,15,110,0,0.00055,0.7821,0.8387,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-04,objective_immutability,16,110,0,0.00055,0.8297,0.859,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-04,objective_immutability,17,110,0,0.00055,0.7963,0.8511,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-04,objective_immutability,18,110,0,0.00055,0.7773,0.8335,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-04,objective_immutability,19,110,0,0.00055,0.7903,0.8553,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-04,objective_immutability,20,110,0,0.00055,0.7838,0.8332,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-05,acceptance_criteria,1,110,0,0.00055,0.7743,0.8579,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-05,acceptance_criteria,2,110,0,0.00055,0.7837,0.8743,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-05,acceptance_criteria,3,110,0,0.00055,0.8216,0.8243,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-05,acceptance_criteria,4,110,0,0.00055,0.7843,0.8601,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-05,acceptance_criteria,5,110,0,0.00055,0.7829,0.8279,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-05,acceptance_criteria,6,110,0,0.00055,0.8261,0.8543,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-05,acceptance_criteria,7,110,0,0.00055,0.7984,0.8671,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-05,acceptance_criteria,8,110,0,0.00055,0.8184,0.8314,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-05,acceptance_criteria,9,110,0,0.00055,0.7758,0.8459,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-05,acceptance_criteria,10,110,0,0.00055,0.7954,0.848,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-05,acceptance_criteria,11,110,0,0.00055,0.8137,0.8604,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-05,acceptance_criteria,12,110,0,0.00055,0.829,0.8259,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-05,acceptance_criteria,13,110,0,0.00055,0.7942,0.8404,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-05,acceptance_criteria,14,110,0,0.00055,0.8217,0.8349,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-05,acceptance_criteria,15,110,0,0.00055,0.7814,0.8469,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-05,acceptance_criteria,16,110,0,0.00055,0.7953,0.8367,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-05,acceptance_criteria,17,110,0,0.00055,0.785,0.8754,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-05,acceptance_criteria,18,110,0,0.00055,0.7966,0.8717,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-05,acceptance_criteria,19,110,0,0.00055,0.803,0.823,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),unstructured_prompt,PROMPT-05,acceptance_criteria,20,110,0,0.00055,0.83,0.8702,False,0.0
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),monolithic_contract,PROMPT-01,constraint_negation,1,1560,1450,0.0078,0.9581,0.9456,True,0.02
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),monolithic_contract,PROMPT-01,constraint_negation,2,1560,1450,0.0078,0.91,0.9191,True,0.02
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),monolithic_contract,PROMPT-01,constraint_negation,3,1560,1450,0.0078,0.9241,0.8935,True,0.02
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),monolithic_contract,PROMPT-01,constraint_negation,4,1560,1450,0.0078,0.9591,0.9059,True,0.02
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),monolithic_contract,PROMPT-01,constraint_negation,5,1560,1450,0.0078,0.9273,0.9154,False,0.02
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),monolithic_contract,PROMPT-01,constraint_negation,6,1560,1450,0.0078,0.9597,0.9233,True,0.02
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),monolithic_contract,PROMPT-01,constraint_negation,7,1560,1450,0.0078,0.9093,0.9078,False,0.02
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),monolithic_contract,PROMPT-01,constraint_negation,8,1560,1450,0.0078,0.9348,0.9225,True,0.02
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),monolithic_contract,PROMPT-01,constraint_negation,9,1560,1450,0.0078,0.9034,0.9251,True,0.02
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),monolithic_contract,PROMPT-01,constraint_negation,10,1560,1450,0.0078,0.9512,0.8994,False,0.02
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),monolithic_contract,PROMPT-01,constraint_negation,11,1560,1450,0.0078,0.9048,0.9011,True,0.02
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),monolithic_contract,PROMPT-01,constraint_negation,12,1560,1450,0.0078,0.9405,0.9041,True,0.02
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),monolithic_contract,PROMPT-01,constraint_negation,13,1560,1450,0.0078,0.9534,0.9048,True,0.02
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),monolithic_contract,PROMPT-01,constraint_negation,14,1560,1450,0.0078,0.9372,0.9152,True,0.02
frontier_q3_2026,Q3-2026 Frontier (Claude 3.7 Sonnet / OpenAI o3 / Gemini 2.0 Pro / DeepSeek-R1),monolithic_contract,PROMPT-01,constraint_negation,15,1560,1450,0.0078,0.9314,0.9461,True,0.02
