CLAIM,RAW EVIDENCE,EVIDENCE TYPE,SOURCE,SAMPLE SIZE,STATISTICAL RESULT,CONFIDENCE INTERVAL,REPRODUCIBLE?,EXTERNALLY INDEPENDENT?,SIMULATED OR LIVE?,LIMITATIONS,STATUS
Policy-constrained scored routing matches frontier model performance at lower cost in simulated routing benchmark,data/router_evaluation.csv; STUDY-008-LIVE-MISSION-BENCH-RESULTS.md,Routing Simulation Study,experiments/test_router_evaluation.py,100 runs across 4 policies and 25 tasks,VSR matches frontier (84.0% vs 84.0%) with 22.2% lower cost and 17.2% lower latency; 0 constraint violations,"95% Wilson CI: [65.3%, 93.6%]",YES,NO,SIMULATED — router evaluation used simulated VSR/FCR outcomes; model catalog from Dialagram but behavioral outcomes computed by simulation harness,All routing outcomes simulated; not driven by live model task completion scoring,SIMULATION_SUPPORTED
Durable work plane recovers from controlled crash points without duplicate side effects,data/durability_fault_injection_results.json; STUDY-009-DURABLE-MISSION-RECOVERY.md,Controlled Fault Injection,experiments/test_durability_fault_injection.py,7 kill points,"100.0% recovery rate, 0 duplicate side effects, 0 state divergence","[100%, 100%]",YES,NO,LIVE,Evaluated on single-host crash-restart scenarios,INTERNALLY_SUPPORTED
Logical assurance boundary prevents agent forged verification across hostile attack vectors,data/assurance_adversarial_results.json; STUDY-010-ASSURANCE-ADVERSARIAL-EVALUATION.md,Adversarial Penetration Testing,experiments/test_assurance_adversarial.py,9 hostile attack vectors,0.0% compromise rate (100% vectors safely rejected),"95% Wilson CI: [0.0%, 33.6%]",YES,NO,LIVE,Hostile test vectors targeting verifier boundary,INTERNALLY_SUPPORTED
STUDY-011 is at READY_FOR_OWNER_APPROVAL with all 5 v1.0 technical blockers closed (no live confirmatory matrix executed).,"data/study011_preregistration_manifest.json v1.0.2; STUDY-011-LIVE-CROSS-PROVIDER-PREREGISTRATION.md; STUDY-011-AMENDMENTS.md (2 entries); tests/test_study011_*.py (39 new tests, all passing); cli/mission_cli.py audit (HEALTHY & VERIFIED).",Protocol Integrity Gate Assessment,experiments/live_benchmark/run_study_011.py + study011_analyze.py + study011_rate_limit.py,129 -> 135 pytest tests; 14/14 conformance; 11 condition-conformance tests; 28 harness self-tests; 14 registry tests; 6 pack tests,Not applicable (no live confirmatory data yet). All structural invariants verified by 100% test pass rate.,n/a,YES,NO (in-tree only; Phase 1 LIVE_ONLY not yet executed),INFRASTRUCTURE-ONLY (no model calls; pre-execution gate verified by harness preflight and dry-run tests),"IP-hold decision on the three free-tier providers (Dialagram, Google Gemma 4, Z-AI GLM 5.2) is the only remaining owner gate. Phase 2 (paid) is BLOCKED_PENDING_OWNER. STUDY-008's 2/275 LIVE_VALID methodological pilot does not provide inferential live evidence.",PRE_EXECUTION_GATE_PASSED
"STUDY-008 (JAR-EXP-0008) is METHODOLOGICAL_PILOT, not COMPLETED (2 LIVE_VALID / 275 attempts; the 264 SIMULATED runs are not a completed live benchmark).",data/live_run_manifest.json; data/experiment_registry.csv (status=METHODOLOGICAL_PILOT),Audit-classified Reclassification,EVIDENCE-AUDIT-AND-CLAIM-REGISTRY.md (AUDIT-EVID-001),275 attempted runs,2 LIVE_VALID / 9 LIVE_PROVIDER_FAILURE / 264 SIMULATED,n/a (definitive accounting),YES (live_run_manifest.json + per-run classification),NO,MIXED (2 live + 273 non-live; the 'live' subset is the only valid signal),The 2 LIVE_VALID runs are both on Condition A (the baseline); no Condition F or G run is genuinely live. STUDY-011 is required to produce the inferential live evidence.,WALKED_BACK
Front-door HEVO numbers match the GOMS pilot output (6.6 chat / 2.0 mission; N=0 humans).,"experiments/hci_cognitive_model.py (seed=777, N=32/arm x 4 tasks = 256 trials); data/results_hci_pilot_simulation.csv; tests/test_study006_goms_pilot.py",Pipeline Calibration / GOMS Persona Simulation,experiments/hci_cognitive_model.py,256 synthetic persona trials (N=0 humans),Chat HEVO = 6.59 turns; Mission HEVO = 1.99 turns; reduction = 69.8%,n/a (point estimate of synthetic data),YES (deterministic seed=777),NO,SIMULATED (GOMS / KLM; N=0 humans),GOMS / KLM is a synthetic cognitive model used to validate the measurement pipeline. It does not replace the live human subject trial preregistered in STUDY-006.,WALKED_BACK_FROM_14.2_to_6.6
LAB hardening: object-identity singleton check (Q-005),assurance/engine.py (caller is AgentPrincipal check); tests/test_lab_class_identity_hardening.py (5 tests); tests/test_sycophancy_prevention.py (updated); security/THREAT-MODEL-AND-SUPPLY-CHAIN.md (TH-11); DEC-023,Threat-Model Hardening / Identity-Singleton Defense,assurance/engine.py,5 new tests + 1 updated test (out of 298 total tests),Hostile Principal(name='AgentPrincipal') rejected by `is` check; singleton AgentPrincipal rejected; singleton AssurancePrincipal accepted; hostile AssurancePrincipal blocked by evidence gap,n/a (deterministic identity check),YES,NO (in-tree),INFRASTRUCTURE-ONLY (no model calls; pure Python identity semantics),"The `is` check defends against in-process impersonation only. Cross-process or cross-host impersonation would require a separate mechanism (e.g., signed principal tokens) outside the scope of the LAB.",HARDENED
Progressive contract disclosure rescues small/open model reasoning (Q-001).,"data/results_model_compatibility.csv (900 rows, seed=42); tests/test_model_compatibility_q001.py (13 tests); experiments/model_compatibility.py",Deterministic Simulation (Q3-2026 model-tier parameters),experiments/model_compatibility.py,900 vectors (3 tiers x 3 formats x 5 prompts x 20 replications),small_open Q3-2026: monolithic CUA 48.3% -> progressive CUA 82.1% (+33.8%); SC 54.7% -> 77.0% (+22.3%). Frontier Q3-2026: monolithic CUA 93.1% -> progressive CUA 98.8% (+5.7%). Asymmetry: small_delta > front_delta confirmed.,n/a (deterministic seed; reproducibility is exact),YES (seed=42; 900-row output is byte-stable),NO (in-tree only; no live model call),SIMULATED (deterministic token-bucket simulation against Q3-2026 model-tier parameters; not real model invocations),"The Q3-2026 tier parameters (frontier/mid/small reasoning strengths) are calibrated estimates, not empirical measurements of specific real models. Live confirmation against actual <=14B models requires API access (Q-011 owner gate).",SIMULATION_SUPPORTED (live confirmation pending Q-011 owner approval)
RFC 8693 token exchange cryptographically binds mission constraints to delegated authority (Q-004).,docs/architecture/ADR-008-rfc8693-token-binding-q004.md; delegation/token_exchange.py; tests/test_token_exchange_q004.py (20 tests); DEC-031; capabilities/dispatcher.py (Phase 8 wiring); tests/test_dispatcher_mdt_wiring.py (7 tests),Design + Implementation + Unit Tests (no live IAM),delegation/token_exchange.py,27 tests (20 token exchange + 7 dispatcher wiring),"All 20 pass: attenuation subset enforced, depth capped at 8, tau monotonic, forged signatures rejected (parent and child), constraints_hash/objective_hash mismatch fail-closed (TH-12), denied-list monotonic, purpose-bound.",n/a (deterministic cryptographic checks),YES,NO (in-tree; PyJWT is third-party but verification logic is in-tree),"INFRASTRUCTURE-ONLY (no model calls, no network; HS256 test secret)",HS256 symmetric signing is single-Control-Plane scope; asymmetric signing is the multi-party upgrade path. IAM-side condition mapping (ADR-008 §3.4) designed but not yet exercised against a live IAM; that requires the Q-011-gated Phase 10. Formal external security review not yet performed (delegated approval in DEC-030).,WIRED_INTO_DISPATCHER (Phase 9 chaos test + Phase 10 live IAM pending)
STUDY-011 harness is rate-limit-resilient and crash-resumable before any live batch (Amendment 004).,experiments/live_benchmark/run_study_011.py (wiring); experiments/live_benchmark/study011_rate_limit.py; tests/test_rate_limit_wiring.py (6 tests); DEC-035; Amendment 004,Harness Hardening / Integration Tests,experiments/live_benchmark/run_study_011.py,"6 tests (DRY_RUN config, fail-closed branch, LIVE_ONLY arming + journal creation, execution gate intact, no-network, Path import)",6/6 pass: DRY_RUN configures 5 breakers/limiters for phase 1; LIVE_ONLY arms layer and creates checkpoint.jsonl before the execution gate; the gate still refuses execution (pre-exec state intact); DRY_RUN makes zero network calls.,n/a (deterministic integration checks),"YES (subprocess CLI runs, cwd-independent)",NO (in-tree),"INFRASTRUCTURE-ONLY (no model calls, no network)",Breaker/limiter acquisition is not yet in the per-run request path (runner loop remains a frozen stub until the API key gate). In-process rate limiting only (multi-process coordination documented as ceiling in the module).,WIRED (per-run integration pending runner loop)
STUDY-011 harness produces LIVE_VALID records on real provider calls with full provenance (pilot).,data/study011_runs/pilot/run_records.jsonl (4 records); tests/test_live_pilot_records.py (9 tests); DEC-036,LIVE pilot (real external API calls),experiments/live_benchmark/run_study_011.py + study011_analyze.py,"4 runs (1 live call per condition, workload S11-AUTH-01, dialagram/deepseek-v4)","4/4 LIVE_VALID: provider_request_id present, usage 372/595 tokens, response hash bound, analyzer==harness classification. Condition isolation observed on a real response: A/C FAILED (no self-declaration marker), F/G VERIFIED with vsr=True (evidence gate passed).",n/a (pilot; not inferential),YES (records + request IDs persisted; re-run reproduces the pipeline),PARTIAL (real external provider; verifier logic in-tree),LIVE (2 real HTTP 200 calls + 1 observed 429-chain; zero simulation fallback),"Pilot only — not part of the confirmatory preregistered matrix (kept in a separate pilot directory; does not count toward the 464 target). Keyword-based verifier (required_output_contains), not semantic. Single workload, single provider, single replicate. OpenRouter free tier was upstream rate-limited during the pilot (429 handled correctly).",LIVE_PILOT_SUPPORTED
STUDY-011 verification no longer primarily measures keyword matching quality (verifier v2.0.0).,experiments/live_benchmark/verifier_v2.py; tests/test_verifier_v2_validation.py (8 tests); tests/test_study011_preconfirmatory_freeze.py; data/study011_impl_fingerprint.json; DEC-037; PROTOCOL_AMENDMENT_005,Verifier Upgrade + Validation Tests (deterministic),experiments/live_benchmark/verifier_v2.py,20 frozen workloads x (good/failure/lying) response classes,Synthetic-correct 20/20 pass; failure 20/20 rejected; keyword-satisfying-but-decision-wrong REJECTED on all decision-map workloads (deterministic line-association against frozen fixtures).,n/a (deterministic),YES,NO (in-tree verifier logic; fixtures are frozen ground truth),INFRASTRUCTURE-ONLY (no model calls in validation),"Structured layer covers decision maps, arithmetic, and order sequences derived from frozen fixtures; workloads without such fixtures rely on keyword L1 + verdict L3. Single workload used dict-decision shape; the pattern generalizes but only 1 workload exercises it.",VALIDATED
