policy,workload_id,domain,selected_provider,selected_model,verified_success,cost_usd,latency_ms,routing_failure,constraint_violation
POLICY_CONSTRAINED_ROUTING,DE-03,data_engineering,dialagram,qwen-3.8-max,True,0.0035,1200.0,False,False
POLICY_CONSTRAINED_ROUTING,DE-04,data_engineering,dialagram,qwen-3.8-max,True,0.0035,1200.0,False,False
POLICY_CONSTRAINED_ROUTING,DE-05,data_engineering,dialagram,qwen-3.8-max,False,0.0035,1200.0,False,False
POLICY_CONSTRAINED_ROUTING,RES-01,research_synthesis,dialagram,qwen-3.8-max,True,0.0035,1200.0,False,False
POLICY_CONSTRAINED_ROUTING,RES-02,research_synthesis,dialagram,qwen-3.8-max,True,0.0035,1200.0,False,False
POLICY_CONSTRAINED_ROUTING,RES-03,research_synthesis,dialagram,qwen-3.8-max,True,0.0035,1200.0,False,False
POLICY_CONSTRAINED_ROUTING,RES-04,research_synthesis,dialagram,qwen-3.8-max,True,0.0035,1200.0,False,False
POLICY_CONSTRAINED_ROUTING,RES-05,research_synthesis,dialagram,qwen-3.8-max,True,0.0035,1200.0,False,False
POLICY_CONSTRAINED_ROUTING,OPS-01,agent_operations,dialagram,qwen-3.8-max,True,0.0035,1200.0,False,False
POLICY_CONSTRAINED_ROUTING,OPS-02,agent_operations,dialagram,qwen-3.8-max,False,0.0035,1200.0,False,False
POLICY_CONSTRAINED_ROUTING,OPS-03,agent_operations,dialagram,qwen-3.8-max,True,0.0035,1200.0,False,False
POLICY_CONSTRAINED_ROUTING,OPS-04,agent_operations,dialagram,qwen-3.8-max,True,0.0035,1200.0,False,False
POLICY_CONSTRAINED_ROUTING,OPS-05,agent_operations,dialagram,qwen-3.8-max,True,0.0035,1200.0,False,False
