subject_id,modality,task_id,task_name,hevo_interventions,reading_time_sec,total_time_sec,nasa_tlx_score,undetected_error
S-CHAT-17,chat_only,TASK-1,Production Hotfix Deployment,9,263.9,430.8,61.6,False
S-CHAT-17,chat_only,TASK-2,Database Schema Migration,7,351.9,484.9,63.1,False
S-CHAT-17,chat_only,TASK-3,Prompt Injection Mitigation,9,234.6,404.0,57.1,False
S-CHAT-17,chat_only,TASK-4,Budget Surge Recovery,7,307.9,446.7,69.1,True
S-CHAT-18,chat_only,TASK-1,Production Hotfix Deployment,9,385.5,551.0,64.4,False
S-CHAT-18,chat_only,TASK-2,Database Schema Migration,7,514.0,654.3,61.8,False
S-CHAT-18,chat_only,TASK-3,Prompt Injection Mitigation,7,342.7,483.1,64.1,False
S-CHAT-18,chat_only,TASK-4,Budget Surge Recovery,5,449.7,542.6,70.7,False
S-CHAT-19,chat_only,TASK-1,Production Hotfix Deployment,5,315.6,426.4,62.4,False
S-CHAT-19,chat_only,TASK-2,Database Schema Migration,6,420.8,543.2,58.4,False
S-CHAT-19,chat_only,TASK-3,Prompt Injection Mitigation,6,280.6,404.8,63.0,True
S-CHAT-19,chat_only,TASK-4,Budget Surge Recovery,5,368.2,470.0,69.3,False
S-CHAT-20,chat_only,TASK-1,Production Hotfix Deployment,8,433.8,580.9,61.0,False
S-CHAT-20,chat_only,TASK-2,Database Schema Migration,9,578.4,750.4,63.9,False
S-CHAT-20,chat_only,TASK-3,Prompt Injection Mitigation,6,385.6,498.3,68.8,False
S-CHAT-20,chat_only,TASK-4,Budget Surge Recovery,4,506.1,594.2,66.1,True
S-CHAT-21,chat_only,TASK-1,Production Hotfix Deployment,5,312.5,423.4,66.6,False
S-CHAT-21,chat_only,TASK-2,Database Schema Migration,9,416.7,587.9,55.5,False
S-CHAT-21,chat_only,TASK-3,Prompt Injection Mitigation,7,277.8,410.9,70.2,True
S-CHAT-21,chat_only,TASK-4,Budget Surge Recovery,4,364.6,459.1,67.2,False
S-CHAT-22,chat_only,TASK-1,Production Hotfix Deployment,6,312.9,430.3,70.5,False
S-CHAT-22,chat_only,TASK-2,Database Schema Migration,9,417.1,577.7,62.8,False
S-CHAT-22,chat_only,TASK-3,Prompt Injection Mitigation,7,278.1,416.8,63.6,True
S-CHAT-22,chat_only,TASK-4,Budget Surge Recovery,7,365.0,495.7,61.9,True
S-CHAT-23,chat_only,TASK-1,Production Hotfix Deployment,4,336.7,430.4,64.8,False
S-CHAT-23,chat_only,TASK-2,Database Schema Migration,9,449.0,606.5,66.3,False
S-CHAT-23,chat_only,TASK-3,Prompt Injection Mitigation,6,299.3,418.0,62.6,False
S-CHAT-23,chat_only,TASK-4,Budget Surge Recovery,9,392.8,554.9,67.8,True
S-CHAT-24,chat_only,TASK-1,Production Hotfix Deployment,7,278.4,410.2,65.6,False
S-CHAT-24,chat_only,TASK-2,Database Schema Migration,7,371.1,508.7,63.0,False
S-CHAT-24,chat_only,TASK-3,Prompt Injection Mitigation,8,247.4,402.0,56.1,False
S-CHAT-24,chat_only,TASK-4,Budget Surge Recovery,8,324.7,484.5,67.7,False
S-CHAT-25,chat_only,TASK-1,Production Hotfix Deployment,7,380.5,519.7,64.2,False
S-CHAT-25,chat_only,TASK-2,Database Schema Migration,6,507.3,630.5,69.3,False
S-CHAT-25,chat_only,TASK-3,Prompt Injection Mitigation,7,338.2,471.1,66.4,False
S-CHAT-25,chat_only,TASK-4,Budget Surge Recovery,4,443.9,536.8,69.7,True
S-CHAT-26,chat_only,TASK-1,Production Hotfix Deployment,7,399.0,538.6,63.6,False
S-CHAT-26,chat_only,TASK-2,Database Schema Migration,5,532.0,636.9,59.9,False
S-CHAT-26,chat_only,TASK-3,Prompt Injection Mitigation,6,354.7,476.8,51.1,False
S-CHAT-26,chat_only,TASK-4,Budget Surge Recovery,5,465.5,578.9,72.7,True
S-CHAT-27,chat_only,TASK-1,Production Hotfix Deployment,8,377.5,529.8,64.2,False
S-CHAT-27,chat_only,TASK-2,Database Schema Migration,5,503.4,600.7,74.5,False
S-CHAT-27,chat_only,TASK-3,Prompt Injection Mitigation,8,335.6,486.0,61.2,False
S-CHAT-27,chat_only,TASK-4,Budget Surge Recovery,5,440.5,542.1,73.8,False
S-CHAT-28,chat_only,TASK-1,Production Hotfix Deployment,6,359.4,479.7,56.0,False
S-CHAT-28,chat_only,TASK-2,Database Schema Migration,6,479.2,590.6,60.3,False
S-CHAT-28,chat_only,TASK-3,Prompt Injection Mitigation,5,319.4,426.9,62.0,False
S-CHAT-28,chat_only,TASK-4,Budget Surge Recovery,7,419.3,555.2,65.8,True
S-CHAT-29,chat_only,TASK-1,Production Hotfix Deployment,5,353.5,448.1,58.6,False
S-CHAT-29,chat_only,TASK-2,Database Schema Migration,9,471.3,633.2,66.2,False
S-CHAT-29,chat_only,TASK-3,Prompt Injection Mitigation,8,314.2,467.2,66.3,True
S-CHAT-29,chat_only,TASK-4,Budget Surge Recovery,6,412.4,526.6,58.2,False
S-CHAT-30,chat_only,TASK-1,Production Hotfix Deployment,8,448.5,603.7,64.5,False
S-CHAT-30,chat_only,TASK-2,Database Schema Migration,8,597.9,747.9,55.8,False
S-CHAT-30,chat_only,TASK-3,Prompt Injection Mitigation,8,398.6,544.1,67.8,False
S-CHAT-30,chat_only,TASK-4,Budget Surge Recovery,7,523.2,662.1,65.1,False
S-CHAT-31,chat_only,TASK-1,Production Hotfix Deployment,8,302.5,443.8,66.8,False
S-CHAT-31,chat_only,TASK-2,Database Schema Migration,6,403.3,520.1,59.2,False
S-CHAT-31,chat_only,TASK-3,Prompt Injection Mitigation,6,268.9,379.8,70.3,True
S-CHAT-31,chat_only,TASK-4,Budget Surge Recovery,6,352.9,468.1,63.3,False
S-CHAT-32,chat_only,TASK-1,Production Hotfix Deployment,7,453.0,595.5,66.2,False
S-CHAT-32,chat_only,TASK-2,Database Schema Migration,4,603.9,693.9,71.7,False
S-CHAT-32,chat_only,TASK-3,Prompt Injection Mitigation,6,402.6,517.8,70.2,False
S-CHAT-32,chat_only,TASK-4,Budget Surge Recovery,6,528.5,654.7,64.0,False
S-MISSION-01,mission_ux,TASK-1,Production Hotfix Deployment,2,38.3,68.4,30.6,False
S-MISSION-01,mission_ux,TASK-2,Database Schema Migration,2,48.8,74.7,23.6,False
S-MISSION-01,mission_ux,TASK-3,Prompt Injection Mitigation,2,36.6,70.6,23.7,False
S-MISSION-01,mission_ux,TASK-4,Budget Surge Recovery,3,43.6,81.1,33.7,False
S-MISSION-02,mission_ux,TASK-1,Production Hotfix Deployment,3,53.6,94.4,30.5,False
S-MISSION-02,mission_ux,TASK-2,Database Schema Migration,3,68.2,110.2,25.5,False
S-MISSION-02,mission_ux,TASK-3,Prompt Injection Mitigation,1,51.1,76.4,28.7,True
S-MISSION-02,mission_ux,TASK-4,Budget Surge Recovery,2,60.9,97.1,26.6,False
S-MISSION-03,mission_ux,TASK-1,Production Hotfix Deployment,2,43.9,77.8,25.8,False
S-MISSION-03,mission_ux,TASK-2,Database Schema Migration,2,55.8,91.1,28.1,False
S-MISSION-03,mission_ux,TASK-3,Prompt Injection Mitigation,2,41.9,73.9,28.6,False
S-MISSION-03,mission_ux,TASK-4,Budget Surge Recovery,1,49.9,74.9,27.4,False
S-MISSION-04,mission_ux,TASK-1,Production Hotfix Deployment,2,40.0,69.5,28.9,False
S-MISSION-04,mission_ux,TASK-2,Database Schema Migration,2,50.9,80.7,31.8,False
S-MISSION-04,mission_ux,TASK-3,Prompt Injection Mitigation,1,38.2,65.5,29.3,False
S-MISSION-04,mission_ux,TASK-4,Budget Surge Recovery,2,45.4,77.0,26.5,False
S-MISSION-05,mission_ux,TASK-1,Production Hotfix Deployment,2,40.8,73.0,29.9,False
S-MISSION-05,mission_ux,TASK-2,Database Schema Migration,3,51.9,89.6,25.3,False
S-MISSION-05,mission_ux,TASK-3,Prompt Injection Mitigation,3,39.0,79.8,30.0,False
S-MISSION-05,mission_ux,TASK-4,Budget Surge Recovery,1,46.4,68.9,27.1,False
S-MISSION-06,mission_ux,TASK-1,Production Hotfix Deployment,3,44.2,88.6,27.4,False
S-MISSION-06,mission_ux,TASK-2,Database Schema Migration,2,56.3,85.5,28.0,False
S-MISSION-06,mission_ux,TASK-3,Prompt Injection Mitigation,1,42.2,64.5,31.6,False
S-MISSION-06,mission_ux,TASK-4,Budget Surge Recovery,1,50.2,75.2,29.4,False
S-MISSION-07,mission_ux,TASK-1,Production Hotfix Deployment,2,44.0,69.0,30.2,False
S-MISSION-07,mission_ux,TASK-2,Database Schema Migration,3,55.9,95.2,28.7,False
S-MISSION-07,mission_ux,TASK-3,Prompt Injection Mitigation,3,42.0,81.0,33.2,False
S-MISSION-07,mission_ux,TASK-4,Budget Surge Recovery,1,50.0,73.7,27.7,False
S-MISSION-08,mission_ux,TASK-1,Production Hotfix Deployment,2,41.4,76.5,30.2,False
S-MISSION-08,mission_ux,TASK-2,Database Schema Migration,2,52.7,83.5,30.7,False
S-MISSION-08,mission_ux,TASK-3,Prompt Injection Mitigation,2,39.5,69.0,28.4,False
S-MISSION-08,mission_ux,TASK-4,Budget Surge Recovery,1,47.1,71.6,30.5,False
S-MISSION-09,mission_ux,TASK-1,Production Hotfix Deployment,3,47.2,84.0,25.5,False
S-MISSION-09,mission_ux,TASK-2,Database Schema Migration,3,60.1,92.6,25.9,False
S-MISSION-09,mission_ux,TASK-3,Prompt Injection Mitigation,1,45.1,67.9,34.3,True
S-MISSION-09,mission_ux,TASK-4,Budget Surge Recovery,1,53.7,74.8,31.2,False
S-MISSION-10,mission_ux,TASK-1,Production Hotfix Deployment,2,41.7,68.9,29.8,False
S-MISSION-10,mission_ux,TASK-2,Database Schema Migration,1,53.1,70.5,24.9,False
S-MISSION-10,mission_ux,TASK-3,Prompt Injection Mitigation,3,39.8,81.8,26.3,False
S-MISSION-10,mission_ux,TASK-4,Budget Surge Recovery,2,47.4,78.4,28.0,False
S-MISSION-11,mission_ux,TASK-1,Production Hotfix Deployment,3,41.8,74.4,25.2,False
S-MISSION-11,mission_ux,TASK-2,Database Schema Migration,2,53.2,82.5,29.6,False
S-MISSION-11,mission_ux,TASK-3,Prompt Injection Mitigation,1,39.9,65.0,25.4,False
S-MISSION-11,mission_ux,TASK-4,Budget Surge Recovery,1,47.5,71.0,28.6,False
S-MISSION-12,mission_ux,TASK-1,Production Hotfix Deployment,1,46.5,65.2,28.4,False
S-MISSION-12,mission_ux,TASK-2,Database Schema Migration,1,59.2,83.7,27.1,False
S-MISSION-12,mission_ux,TASK-3,Prompt Injection Mitigation,1,44.4,64.6,31.4,False
S-MISSION-12,mission_ux,TASK-4,Budget Surge Recovery,3,52.8,91.5,23.2,False
S-MISSION-13,mission_ux,TASK-1,Production Hotfix Deployment,3,33.5,77.0,28.6,False
S-MISSION-13,mission_ux,TASK-2,Database Schema Migration,1,42.6,66.0,27.2,False
S-MISSION-13,mission_ux,TASK-3,Prompt Injection Mitigation,2,32.0,60.4,30.6,False
S-MISSION-13,mission_ux,TASK-4,Budget Surge Recovery,2,38.1,66.9,30.4,False
S-MISSION-14,mission_ux,TASK-1,Production Hotfix Deployment,3,43.4,82.2,28.5,False
S-MISSION-14,mission_ux,TASK-2,Database Schema Migration,2,55.3,87.3,26.9,False
S-MISSION-14,mission_ux,TASK-3,Prompt Injection Mitigation,1,41.5,64.8,33.9,False
S-MISSION-14,mission_ux,TASK-4,Budget Surge Recovery,2,49.4,83.1,27.0,False
S-MISSION-15,mission_ux,TASK-1,Production Hotfix Deployment,3,43.9,83.2,24.6,False
S-MISSION-15,mission_ux,TASK-2,Database Schema Migration,3,55.9,95.8,33.2,False
S-MISSION-15,mission_ux,TASK-3,Prompt Injection Mitigation,1,41.9,64.3,30.8,False
S-MISSION-15,mission_ux,TASK-4,Budget Surge Recovery,3,49.9,87.7,29.1,False
S-MISSION-16,mission_ux,TASK-1,Production Hotfix Deployment,1,39.6,62.1,29.2,False
S-MISSION-16,mission_ux,TASK-2,Database Schema Migration,3,50.4,85.2,23.6,False
S-MISSION-16,mission_ux,TASK-3,Prompt Injection Mitigation,1,37.8,60.6,29.9,False
S-MISSION-16,mission_ux,TASK-4,Budget Surge Recovery,2,45.0,76.2,25.3,False
S-MISSION-17,mission_ux,TASK-1,Production Hotfix Deployment,3,39.4,76.4,24.4,False
S-MISSION-17,mission_ux,TASK-2,Database Schema Migration,3,50.2,90.7,31.1,False
S-MISSION-17,mission_ux,TASK-3,Prompt Injection Mitigation,1,37.6,60.5,31.1,False
S-MISSION-17,mission_ux,TASK-4,Budget Surge Recovery,3,44.8,82.9,32.3,False
S-MISSION-18,mission_ux,TASK-1,Production Hotfix Deployment,1,50.2,79.8,29.3,False
S-MISSION-18,mission_ux,TASK-2,Database Schema Migration,2,63.9,98.7,28.4,False
S-MISSION-18,mission_ux,TASK-3,Prompt Injection Mitigation,2,47.9,77.7,30.4,False
S-MISSION-18,mission_ux,TASK-4,Budget Surge Recovery,3,57.1,98.2,26.0,False
S-MISSION-19,mission_ux,TASK-1,Production Hotfix Deployment,2,33.8,62.4,30.5,False
S-MISSION-19,mission_ux,TASK-2,Database Schema Migration,2,43.0,71.8,26.3,False
S-MISSION-19,mission_ux,TASK-3,Prompt Injection Mitigation,1,32.2,59.6,30.0,False
S-MISSION-19,mission_ux,TASK-4,Budget Surge Recovery,2,38.4,71.0,33.7,False
S-MISSION-20,mission_ux,TASK-1,Production Hotfix Deployment,1,47.3,64.3,31.0,False
S-MISSION-20,mission_ux,TASK-2,Database Schema Migration,3,60.2,104.5,28.8,False
S-MISSION-20,mission_ux,TASK-3,Prompt Injection Mitigation,3,45.2,87.6,28.9,False
S-MISSION-20,mission_ux,TASK-4,Budget Surge Recovery,2,53.8,83.7,27.5,False
S-MISSION-21,mission_ux,TASK-1,Production Hotfix Deployment,2,40.9,72.9,32.3,False
S-MISSION-21,mission_ux,TASK-2,Database Schema Migration,1,52.1,75.9,26.8,False
S-MISSION-21,mission_ux,TASK-3,Prompt Injection Mitigation,3,39.1,76.7,25.5,False
S-MISSION-21,mission_ux,TASK-4,Budget Surge Recovery,3,46.5,82.3,29.7,False
S-MISSION-22,mission_ux,TASK-1,Production Hotfix Deployment,2,36.5,73.6,29.9,False
S-MISSION-22,mission_ux,TASK-2,Database Schema Migration,3,46.4,82.7,30.4,False
S-MISSION-22,mission_ux,TASK-3,Prompt Injection Mitigation,3,34.8,69.1,23.9,False
S-MISSION-22,mission_ux,TASK-4,Budget Surge Recovery,1,41.4,64.2,27.7,False
S-MISSION-23,mission_ux,TASK-1,Production Hotfix Deployment,3,46.3,86.6,30.0,False
S-MISSION-23,mission_ux,TASK-2,Database Schema Migration,1,59.0,85.8,29.9,False
S-MISSION-23,mission_ux,TASK-3,Prompt Injection Mitigation,2,44.2,75.2,30.5,False
S-MISSION-23,mission_ux,TASK-4,Budget Surge Recovery,1,52.6,78.8,29.6,False
S-MISSION-24,mission_ux,TASK-1,Production Hotfix Deployment,3,41.6,85.3,33.4,False
S-MISSION-24,mission_ux,TASK-2,Database Schema Migration,1,52.9,74.1,24.2,False
S-MISSION-24,mission_ux,TASK-3,Prompt Injection Mitigation,2,39.7,71.3,31.6,False
S-MISSION-24,mission_ux,TASK-4,Budget Surge Recovery,2,47.2,74.2,30.0,False
S-MISSION-25,mission_ux,TASK-1,Production Hotfix Deployment,3,53.1,93.9,26.3,False
S-MISSION-25,mission_ux,TASK-2,Database Schema Migration,1,67.6,93.4,26.0,False
S-MISSION-25,mission_ux,TASK-3,Prompt Injection Mitigation,2,50.7,83.6,27.6,False
S-MISSION-25,mission_ux,TASK-4,Budget Surge Recovery,1,60.3,83.5,28.6,False
S-MISSION-26,mission_ux,TASK-1,Production Hotfix Deployment,3,38.3,75.4,27.3,False
S-MISSION-26,mission_ux,TASK-2,Database Schema Migration,2,48.8,81.8,26.1,False
S-MISSION-26,mission_ux,TASK-3,Prompt Injection Mitigation,3,36.6,72.6,29.9,False
S-MISSION-26,mission_ux,TASK-4,Budget Surge Recovery,3,43.5,80.1,32.8,False
S-MISSION-27,mission_ux,TASK-1,Production Hotfix Deployment,2,35.5,69.0,27.8,False
S-MISSION-27,mission_ux,TASK-2,Database Schema Migration,3,45.2,79.5,29.5,False
S-MISSION-27,mission_ux,TASK-3,Prompt Injection Mitigation,1,33.9,53.9,25.6,False
S-MISSION-27,mission_ux,TASK-4,Budget Surge Recovery,2,40.4,74.2,32.7,False
S-MISSION-28,mission_ux,TASK-1,Production Hotfix Deployment,1,38.1,59.5,34.0,False
S-MISSION-28,mission_ux,TASK-2,Database Schema Migration,1,48.5,74.9,32.0,False
S-MISSION-28,mission_ux,TASK-3,Prompt Injection Mitigation,3,36.4,78.6,30.6,False
S-MISSION-28,mission_ux,TASK-4,Budget Surge Recovery,1,43.3,74.8,27.4,False
S-MISSION-29,mission_ux,TASK-1,Production Hotfix Deployment,1,42.1,59.9,31.9,False
S-MISSION-29,mission_ux,TASK-2,Database Schema Migration,2,53.6,84.6,27.4,False
S-MISSION-29,mission_ux,TASK-3,Prompt Injection Mitigation,1,40.2,64.0,27.4,False
S-MISSION-29,mission_ux,TASK-4,Budget Surge Recovery,1,47.9,69.7,28.6,False
S-MISSION-30,mission_ux,TASK-1,Production Hotfix Deployment,3,45.8,88.0,29.6,False
S-MISSION-30,mission_ux,TASK-2,Database Schema Migration,2,58.3,93.5,27.5,False
S-MISSION-30,mission_ux,TASK-3,Prompt Injection Mitigation,3,43.7,82.9,34.7,False
S-MISSION-30,mission_ux,TASK-4,Budget Surge Recovery,3,52.0,89.0,33.8,False
S-MISSION-31,mission_ux,TASK-1,Production Hotfix Deployment,3,40.0,73.5,28.6,False
S-MISSION-31,mission_ux,TASK-2,Database Schema Migration,1,50.9,73.4,26.3,False
S-MISSION-31,mission_ux,TASK-3,Prompt Injection Mitigation,1,38.1,64.1,31.4,False
S-MISSION-31,mission_ux,TASK-4,Budget Surge Recovery,1,45.4,67.6,34.0,False
S-MISSION-32,mission_ux,TASK-1,Production Hotfix Deployment,1,52.6,76.0,26.9,False
S-MISSION-32,mission_ux,TASK-2,Database Schema Migration,3,66.9,97.9,26.3,False
S-MISSION-32,mission_ux,TASK-3,Prompt Injection Mitigation,2,50.2,81.0,33.3,False
S-MISSION-32,mission_ux,TASK-4,Budget Surge Recovery,2,59.7,91.5,28.5,False
